sold_count_Pastry_emerging,sold_count_Drinks_emerging,month,sold_count_BulkCase_giftncase_in_gram,year,sold_count_IndividualWrappedChocolate_selftreat_in _gram,trn_count,emerging_usd,sold_count_Tablet_selftreat,sold_count_PretzelAndSmallChocolate_selftreat,giftncase_usd,total_usd,sold_count_KidsRange_selftreat,sold_count_DrinksPowder_selftreat,sold_count_Giftbox_giftncase,sold_count_Icecream_emerging,VIP_sales,VIP_trn_count,sold_count_Coffee_emerging,sold_count_Dipping_selftreat,sold_count_Biscuits_emerging,selftreat_usd,sold_count_Bar_selftreat,_id
0,"11,757",Jan,"898,309",2015,"5,434","66,982",494,"3,853","9,601","1,599","2,347",0,"1,160","22,752","33,911",700,"9,345",0,"5,413","4,654",254,"3,005",1
0,"10,488",Feb,"1,271,515",2015,"12,026","88,293",689,"4,480","13,129","2,555","3,601",0,814,"55,951","40,750","1,429","16,245",0,"4,642","10,721",357,"3,418",2
0,"10,228",Mar,"730,931",2015,"6,968","58,835",385,"2,906","7,153",847,"1,423",0,926,"26,922","31,491",654,"10,546",0,"3,589","3,507",191,"2,134",3
0,"19,432",Apr,"623,657",2015,"4,945","131,653","1,053","2,675","6,936",683,"1,933",0,788,"17,662","114,407",643,"14,274",0,"5,580","2,671",197,"1,971",4
0,"22,224",May,"645,371",2015,"4,764","86,217",720,"2,827","7,414",489,"1,361",0,709,"14,561","112,937",547,"12,647",0,"6,287","2,822",152,"2,232",5
0,"20,934",Jun,"553,066",2015,"3,877","86,492",735,"2,671","6,817",531,"1,411",0,575,"14,059","93,614",482,"10,937",0,"6,116","2,535",145,"1,744",6
0,"20,927",Jul,"567,756",2015,"4,509","103,824",854,"2,755","7,045",620,"1,660",0,522,"14,507","96,256",450,"10,529",0,"4,007","2,513",186,"1,971",7
0,"19,784",Aug,"660,918",2015,"4,021","79,585",617,"2,809","7,998",656,"1,424",0,525,"13,875","86,298",441,"10,103",0,"4,058","2,620",151,"2,175",8
0,"14,480",Sep,"701,104",2015,"4,792","65,108",543,"2,745","7,460","1,069","1,770",0,716,"24,154","62,242",746,"9,663",0,"3,737","3,686",158,"1,964",9
0,"13,015",Oct,"696,693",2015,"3,944","66,890",581,"2,729","5,533",676,"1,431",0,701,"12,224","53,462",413,"8,574",0,"2,807","5,132",174,"2,569",10
0,"11,882",Nov,"776,072",2015,"4,234","57,843",494,"2,894","5,894","1,600","2,258",0,951,"31,362","44,893",932,"8,797",0,"1,771","5,560",164,"2,313",11
0,"10,566",Dec,"1,123,697",2015,"15,895","130,121","1,041","4,788","16,176","3,242","4,740",0,"2,103","92,920","103,692","2,542","19,749",0,"2,798","11,870",457,"4,187",12
0,"12,689",Jan,"922,407",2016,"4,973","73,060","1,078","9,267","8,679","3,655","5,216",0,"1,214","29,351","55,423",788,"9,913",0,"2,154","6,477",483,"3,012",13
0,"13,030",Feb,"933,793",2016,"5,623","86,147",717,"3,713","8,362","2,085","3,014",0,"1,030","45,889","55,858",857,"11,080",0,"4,098","9,222",212,"2,475",14
0,"19,887",Mar,"701,625",2016,"2,500","70,189",661,"2,543","6,281",840,"1,632",0,721,"25,200","67,967",368,"8,297",0,"2,903","4,523",131,"2,037",15
0,"10,102",Apr,"509,909",2016,"2,683","62,431",534,"2,257","5,491",483,"1,136",0,578,"12,354","48,551",422,"9,830",0,"1,921","3,411",119,"1,700",16
0,"14,302",May,"651,210",2016,"4,515","77,553",698,"2,684","6,520",580,"1,434",0,658,"15,133","66,096",414,"10,251",0,"2,692","4,196",156,"1,923",17
0,"14,178",Jun,"701,933",2016,"4,311","82,266",714,"4,110","5,356",632,"1,497",0,626,"17,299","84,391",457,"10,235",0,"3,587","4,748",151,"2,036",18
0,"16,045",Jul,"588,445",2016,"3,578","73,130",644,"3,054","5,336",581,"1,364",0,539,"13,682","73,935",427,"9,360",0,"4,186","3,529",139,"1,657",19
0,"17,951",Aug,"670,986",2016,"3,723","67,060",584,"2,389","6,376",794,"1,527",0,642,"15,463","73,581",660,"9,015",0,"3,356","5,872",149,"1,962",20
0,"17,098",Sep,"669,764",2016,"5,968","61,509",523,"2,128","6,748","1,167","1,852",0,615,"22,798","64,173",667,"9,175",0,"1,227","5,065",162,"2,236",21
0,"15,613",Oct,"713,115",2016,"5,210","59,832",610,"2,715","6,660",632,"1,432","1,333",685,"15,613","65,565",363,"8,119",0,"2,032","5,384",190,"2,036",22